images,name,url,webshop,price,image_urls,desc
,,,Hardware.info,,,
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/220715.jpg', 'path': 'full/e128a22df5f42758c79b603c7a0e527839e4962b.jpg', 'checksum': '71096ec44a681baac7f946fca0c780d5'}]",Intel Core i7 4790K,/productinfo/220715/intel-core-i7-4790k,Hardware.info,"€ 336,30",http://content.hwigroup.net/images/products/micro_thumbs/220715.jpg,"Socket 1150, 4 GHz, 4 cores, 22 nm, 88 W, Geïntegreerde graphics"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/240869.jpg', 'path': 'full/e4af30014f32e0fab2820ccdb4cd13c5c8c1e684.jpg', 'checksum': '5dd0617f161fb5f92d25be131d162753'}]",Intel Core i7 5960X,/productinfo/240869/intel-core-i7-5960x,Hardware.info,"€ 1.038,85",http://content.hwigroup.net/images/products/micro_thumbs/240869.jpg,"Socket 2011-3, 3.0 GHz, 8 cores, 22 nm, 140 W"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/215522.jpg', 'path': 'full/a39b69c25d6ea1d0f5f2f2bd9052acaa0a9a737a.jpg', 'checksum': '8260b71e77c00f1f1d2fa3994a53bdc9'}]",Intel Core i5 4690,/productinfo/215522/intel-core-i5-4690,Hardware.info,"€ 215,02",http://content.hwigroup.net/images/products/micro_thumbs/215522.jpg,"Socket 1150, 3.5 GHz, 4 cores, 22 nm, 84 W, Geïntegreerde graphics"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/164236.jpg', 'path': 'full/f0c7659f101338c40a588eb627e954284f59b90b.jpg', 'checksum': '838ec57d294d5681da2178aa05de2806'}]",AMD FX-8350,/productinfo/164236/amd-fx-8350,Hardware.info,"€ 165,89",http://content.hwigroup.net/images/products/micro_thumbs/164236.jpg,"Socket AM3+, 4.0 GHz, 8 cores, 32 nm, 125 W"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/223623.jpg', 'path': 'full/18f9c7ec3ff31f95ecc8f22128399af9cdb025fd.jpg', 'checksum': '2ff3d7bd13d99a86e4de6853e959b35f'}]",AMD A10-7800,/productinfo/223623/amd-a10-7800,Hardware.info,"€ 153,38",http://content.hwigroup.net/images/products/micro_thumbs/223623.jpg,"Socket FM2+, 3.5 GHz, 4 cores, 28 nm, 64 W, Geïntegreerde graphics"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/241524.jpg', 'path': 'full/498dd27d24821098403ce3dd49f89ab41c924902.jpg', 'checksum': '5dd0617f161fb5f92d25be131d162753'}]",Intel Core i7 5820K,/productinfo/241524/intel-core-i7-5820k,Hardware.info,"€ 383,01",http://content.hwigroup.net/images/products/micro_thumbs/241524.jpg,"Socket 2011-3, 3.3 GHz, 6 cores, 22 nm, 140 W"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/220716.jpg', 'path': 'full/1506d8b165d336810091393075e802502af1509c.jpg', 'checksum': 'a5ce2e5ff63023e2f42c3dc0ce21f077'}]",Intel Core i5 4690K,/productinfo/220716/intel-core-i5-4690k,Hardware.info,"€ 232,98",http://content.hwigroup.net/images/products/micro_thumbs/220716.jpg,"Socket 1150, 3.5 GHz, 4 cores, 22 nm, 84 W, Geïntegreerde graphics"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/164239.jpg', 'path': 'full/8bb5e9326f808c890ae7b71a9046c63c1228acff.jpg', 'checksum': '1b220a526ae93bfbf1c4ca42d39f1450'}]",AMD FX-6300,/productinfo/164239/amd-fx-6300,Hardware.info,"€ 100,03",http://content.hwigroup.net/images/products/micro_thumbs/164239.jpg,"Socket AM3+, 3.5 GHz, 6 cores, 32 nm, 95 W"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/215521.jpg', 'path': 'full/dde544d5c437a6673bcd65334c8fb5dc7904a3d4.jpg', 'checksum': '03443473979b7d5b9e1cf6f0f7cf74bc'}]",Intel Core i7 4790,/productinfo/215521/intel-core-i7-4790,Hardware.info,"€ 298,34",http://content.hwigroup.net/images/products/micro_thumbs/215521.jpg,"Socket 1150, 3.6 GHz, 4 cores, 22 nm, 84 W, Geïntegreerde graphics"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/212485.jpg', 'path': 'full/b20fd099d75ff501d0489415576b8cc4b524fa05.jpg', 'checksum': '5fc01ec3993d1db3cfa85e4814f8c71f'}]",Intel Celeron J1900,/productinfo/212485/intel-celeron-j1900,Hardware.info,,http://content.hwigroup.net/images/products/micro_thumbs/212485.jpg,"2.0 GHz, 4 cores, 22 nm, 10 W, Geïntegreerde graphics"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/186930.jpg', 'path': 'full/d0714f8a55258e00f93b60b61907cfffe422394b.jpg', 'checksum': '6aa6ffb8b2dbbc2c1c00cccf6ff4536b'}]",AMD A10-6800K,/productinfo/186930/amd-a10-6800k,Hardware.info,"€ 128,22",http://content.hwigroup.net/images/products/micro_thumbs/186930.jpg,"Socket FM2, 4.1 GHz, 4 cores, 32 nm, 100 W, Geïntegreerde graphics"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/197364.jpg', 'path': 'full/c3c7da7293ba264128470ab3d69656976d8a4a73.jpg', 'checksum': 'e2b64b3cd7ebd1dfe4b218fa651910cf'}]",Intel Core i5 4440,/productinfo/197364/intel-core-i5-4440,Hardware.info,"€ 182,52",http://content.hwigroup.net/images/products/micro_thumbs/197364.jpg,"Socket 1150, 3.1 GHz, 4 cores, 22 nm, 84 W, Geïntegreerde graphics"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/164237.jpg', 'path': 'full/dabb67f6ff10a142e2722305d364b181758224a5.jpg', 'checksum': '1b220a526ae93bfbf1c4ca42d39f1450'}]",AMD FX-8320,/productinfo/164237/amd-fx-8320,Hardware.info,"€ 138,49",http://content.hwigroup.net/images/products/micro_thumbs/164237.jpg,"Socket AM3+, 3.5 GHz, 8 cores, 32 nm, 125 W"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/186071.jpg', 'path': 'full/71efce6a372810341821a865cd55e1f602c149c0.jpg', 'checksum': '047def3f12be2a019303965ec52275d9'}]",Intel Core i5 4670K,/productinfo/186071/intel-core-i5-4670k,Hardware.info,"€ 228,33",http://content.hwigroup.net/images/products/micro_thumbs/186071.jpg,"Socket 1150, 3.4 GHz, 4 cores, 22 nm, 84 W, Geïntegreerde graphics"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/143676.jpg', 'path': 'full/b3f8511d91634a682e48343ce80b66ba59bcea38.jpg', 'checksum': '8aa348fde19336d8e3983febbf09c84a'}]",AMD E-450,/productinfo/143676/amd-e-450,Hardware.info,,http://content.hwigroup.net/images/products/micro_thumbs/143676.jpg,"Socket FT1, 1.65 GHz, 2 cores, 40 nm, 18 W, Geïntegreerde graphics"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/154735.jpg', 'path': 'full/6aeb82a94fba507d3e11c582a341374d5e0f3fc2.jpg', 'checksum': '8aa348fde19336d8e3983febbf09c84a'}]",AMD E1-1200,/productinfo/154735/amd-e1-1200,Hardware.info,,http://content.hwigroup.net/images/products/micro_thumbs/154735.jpg,"Socket FT1, 1.4 GHz, 2 cores, 32 nm, 18 W, Geïntegreerde graphics"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/186870.jpg', 'path': 'full/699fd8066da3d8e50ea9ce6038089e15c70a71ba.jpg', 'checksum': '4c076eb6f8db821de5c12227a38748e4'}]",AMD E1-2100,/productinfo/186870/amd-e1-2100,Hardware.info,,http://content.hwigroup.net/images/products/micro_thumbs/186870.jpg,"Socket FT3, 1.0 GHz, 2 cores, 28 nm, 9 W, Geïntegreerde graphics"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/186031.jpg', 'path': 'full/9ac1a67113ed6a288e0cb3a875bc8932ee04fdb5.jpg', 'checksum': 'a061a1d82e30066721fb50389e9c82b0'}]",Intel Core i7 4770K,/productinfo/186031/intel-core-i7-4770k,Hardware.info,"€ 328,85",http://content.hwigroup.net/images/products/micro_thumbs/186031.jpg,"Socket 1150, 3.5 GHz, 4 cores, 22 nm, 84 W, Geïntegreerde graphics"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/205614.jpg', 'path': 'full/b997eeeec25722a34ed2673298a41c25125af824.jpg', 'checksum': '2ff3d7bd13d99a86e4de6853e959b35f'}]",AMD A10-7850K,/productinfo/205614/amd-a10-7850k,Hardware.info,"€ 160,27",http://content.hwigroup.net/images/products/micro_thumbs/205614.jpg,"Socket FM2+, 3.7 GHz, 4 cores, 28 nm, 95 W, Geïntegreerde graphics"
