images,name,url,webshop,price,image_urls,desc
,,,Hardware.info,,,
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/131531.jpg', 'path': 'full/ed854a5538b1680de803cf40cc261650e070761a.jpg', 'checksum': '542e89081473665103831c4fc35f5bdd'}]",Cooler Master Hyper 412S,/productinfo/131531/cooler-master-hyper-412s,Hardware.info,"€ 35,90",http://content.hwigroup.net/images/products/micro_thumbs/131531.jpg,"Socket 1150/1155/1156, Socket 2011, Socket AM2/AM3/FM1/FM2, Koper / Aluminium"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/255137.jpg', 'path': 'full/14d0f91a4f0ce5cf790bcbe436ea6704f167ebb6.jpg', 'checksum': '1009f4a282da08e4bffa63dd7f16ac3e'}]",Cooler Master Hyper 612 Ver. 2,/productinfo/255137/cooler-master-hyper-612-ver-2,Hardware.info,"€ 42,63",http://content.hwigroup.net/images/products/micro_thumbs/255137.jpg,"Socket 1150/1155/1156, Socket 2011, Socket AM2/AM3/FM1/FM2, Koper / Aluminium"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/193567.jpg', 'path': 'full/2fac94cf0d39f2f340caff9c9cd37e965580c8db.jpg', 'checksum': '1c7385f9affb60d48f8e80eb84e51a65'}]",Scythe Mugen 4 PCGH Edition,/productinfo/193567/scythe-mugen-4-pcgh-edition,Hardware.info,"€ 43,75",http://content.hwigroup.net/images/products/micro_thumbs/193567.jpg,"Socket 1150/1155/1156, Socket 2011, Socket AM2/AM3/FM1/FM2, Koper / Aluminium"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/166762.jpg', 'path': 'full/7b0ad302b7f28f7cadce4f017c8f61fde52a843d.jpg', 'checksum': 'a68d38cc49c8b642024825d09073ddcf'}]",Corsair Hydro Series H100i,/productinfo/166762/corsair-hydro-series-h100i,Hardware.info,"€ 119,94",http://content.hwigroup.net/images/products/micro_thumbs/166762.jpg,"Waterkoeler, Socket 1150/1155/1156, Socket 2011, Socket AM2/AM3/FM1/FM2, Koper / Aluminium"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/124545.jpg', 'path': 'full/5fdacd0a44434eb3ea733a80c591172330e7ee77.jpg', 'checksum': '03623ec00e7f4cafda138f951c3bccad'}]",Gelid Tranquillo Rev.2,/productinfo/124545/gelid-tranquillo-rev2,Hardware.info,"€ 29,88",http://content.hwigroup.net/images/products/micro_thumbs/124545.jpg,"Socket 1150/1155/1156, Socket AM2/AM3/FM1/FM2, Koper / Aluminium"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/129860.jpg', 'path': 'full/1a06b97e34d6da6b8e1d6fedee8f5238eb7bb54e.jpg', 'checksum': '5d648969d46525031632053cda23c477'}]",Cooler Master Hyper 212 Evo ,/productinfo/129860/cooler-master-hyper-212-evo,Hardware.info,"€ 31,87",http://content.hwigroup.net/images/products/micro_thumbs/129860.jpg,"Socket 1150/1155/1156, Socket 2011, Socket AM2/AM3/FM1/FM2, Koper / Aluminium"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/166761.jpg', 'path': 'full/cfcb462b970276cb6f75d20530f576be2c390940.jpg', 'checksum': '3fa218fd382f0d1e4b8b74643f60f565'}]",Corsair Hydro Series H80i,/productinfo/166761/corsair-hydro-series-h80i,Hardware.info,"€ 99,81",http://content.hwigroup.net/images/products/micro_thumbs/166761.jpg,"Waterkoeler, Socket 1150/1155/1156, Socket 2011, Socket AM2/AM3/FM1/FM2, Koper / Aluminium"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/159659.jpg', 'path': 'full/86ea5b79374867b3ac69adc62b8f08e53486aa3e.jpg', 'checksum': '10f0495fcd4272ba39d9e2816dc1fd0e'}]",Thermalright Silver Arrow SB-E Extreme,/productinfo/159659/thermalright-silver-arrow-sb-e-extreme,Hardware.info,"€ 73,68",http://content.hwigroup.net/images/products/micro_thumbs/159659.jpg,"Socket 1150/1155/1156, Socket 2011, Socket AM2/AM3/FM1/FM2, Koper / Aluminium"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/207090.jpg', 'path': 'full/b86758d0c7938e7dc3fcb0526ebf4e128c691901.jpg', 'checksum': 'be293b0d0377e546ec52c616666f4a1b'}]",Be quiet! Dark Rock Pro 3,/productinfo/207090/be-quiet!-dark-rock-pro-3,Hardware.info,"€ 80,02",http://content.hwigroup.net/images/products/micro_thumbs/207090.jpg,"Socket 1150/1155/1156, Socket 2011, Socket AM2/AM3/FM1/FM2, Koper / Aluminium"
