images,name,url,webshop,price,image_urls,desc
,,,Hardware.info,,,
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/188382.jpg', 'path': 'full/6074561ebcb29f21c4b0af2a933dc55f5a64bd77.jpg', 'checksum': '9de5bd06ea66f0b3cb26a141e76d0c62'}]",Corsair Carbide 330R,/productinfo/188382/corsair-carbide-330r,Hardware.info,"€ 85,96",http://content.hwigroup.net/images/products/micro_thumbs/188382.jpg,"Miditower, Extended ATX, Zwart, 2 fans"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/158865.jpg', 'path': 'full/cf990dab74ccbdf6d7fa9ac28a217fdd0437c622.jpg', 'checksum': 'cd19f63bda3787d7a94c022ac1ed1294'}]",Fractal Design Define R4 Black Pearl,/productinfo/158865/fractal-design-define-r4-black-pearl,Hardware.info,"€ 103,05",http://content.hwigroup.net/images/products/micro_thumbs/158865.jpg,"Miditower, ATX, Zwart, 2 fans"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/195092.jpg', 'path': 'full/3f24c468f02a9ee7af91da5006e005f23ae92635.jpg', 'checksum': 'eb43b673af790ecddaefc71788ff8e22'}]",Cooler Master CM 690 III Black,/productinfo/195092/cooler-master-cm-690-iii-black,Hardware.info,"€ 84,15",http://content.hwigroup.net/images/products/micro_thumbs/195092.jpg,"Miditower, ATX, Zwart, 2 fans"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/162726.jpg', 'path': 'full/e5f0b66aebc1e3deb1c0a64d7075fd2878fa2779.jpg', 'checksum': '5b80700c34ec5e7f23f34650305b8b5f'}]",Fractal Design Node 304 Black,/productinfo/162726/fractal-design-node-304-black,Hardware.info,"€ 77,15",http://content.hwigroup.net/images/products/micro_thumbs/162726.jpg,"Cube, Mini ITX, Zwart/Wit, 3 fans"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/232406.jpg', 'path': 'full/44df77a38c8772642183ef72d8ca6c1ae1f4cb57.jpg', 'checksum': 'f10ba07a3e8b07fc8d67589123624916'}]",NZXT Phantom 240 White,/productinfo/232406/nzxt-phantom-240-white,Hardware.info,"€ 75,17",http://content.hwigroup.net/images/products/micro_thumbs/232406.jpg,"Miditower, ATX, Wit, Venster, 2 fans"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/195093.jpg', 'path': 'full/64633596575f0d908a08f1d08bc620c4cfacd9bd.jpg', 'checksum': 'e672869a1b288c1badef4dd3d759f545'}]",Cooler Master CM 690 III Window Black,/productinfo/195093/cooler-master-cm-690-iii-window-black,Hardware.info,"€ 89,10",http://content.hwigroup.net/images/products/micro_thumbs/195093.jpg,"Miditower, ATX, Zwart, Venster"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/207675.jpg', 'path': 'full/840ab273f3cf1c33cc71320b28862c4f38426f31.jpg', 'checksum': '6bbd3914eba4f6bc9f96e515a8a68491'}]",Corsair Obsidian 450D,/productinfo/207675/corsair-obsidian-450d,Hardware.info,"€ 113,08",http://content.hwigroup.net/images/products/micro_thumbs/207675.jpg,"Miditower, ATX, Zwart, Venster, 3 fans"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/185651.jpg', 'path': 'full/9f79c744da7585d0dcb1f39a985ab34ffdb5b274.jpg', 'checksum': 'f87e9963665e17eda4e1e4741db6b31f'}]",Cooler Master N300,/productinfo/185651/cooler-master-n300,Hardware.info,"€ 37,77",http://content.hwigroup.net/images/products/micro_thumbs/185651.jpg,"Miditower, ATX, Zwart, 2 fans"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/185573.jpg', 'path': 'full/2c5980488535c5e48f8ff58ca3a4fc96256f1543.jpg', 'checksum': 'cdd35a4a621b08c489eca722b1b3acca'}]",Cooler Master N200,/productinfo/185573/cooler-master-n200,Hardware.info,"€ 38,19",http://content.hwigroup.net/images/products/micro_thumbs/185573.jpg,"Minitower, Micro ATX, Zwart, 2 fans"
