images,name,url,webshop,price,image_urls,desc
,,,Hardware.info,,,
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/253091.jpg', 'path': 'full/d52d966929667afa27b04ad8fcb5ff2779948adf.jpg', 'checksum': '190d6840362eb232c5eefbcba53e1724'}]",MSI GeForce GTX 970 Gaming 4GB,/productinfo/253091/msi-geforce-gtx-970-gaming-4gb,Hardware.info,"€ 373,60",http://content.hwigroup.net/images/products/micro_thumbs/253091.jpg,"Nvidia GeForce GTX 970, DirectX 11.2, PCI-Express 3.0 x16, 1114 MHz, 4096 MB"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/253092.jpg', 'path': 'full/ef8c3ddc69662aa76bef4b5318017776535062e5.jpg', 'checksum': 'df671537be214a0505f0485c99edba23'}]",ASUS GeForce GTX 970 Strix 4GB,/productinfo/253092/asus-geforce-gtx-970-strix-4gb,Hardware.info,"€ 377,87",http://content.hwigroup.net/images/products/micro_thumbs/253092.jpg,"Nvidia GeForce GTX 970, DirectX 11.2, PCI-Express 3.0 x16, 1114 MHz, 4096 MB"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/253762.jpg', 'path': 'full/0ef8a1a64c628ec23a064101113f5a27ac508568.jpg', 'checksum': '370148bb351850ec9e376f110a8cc0cc'}]",Gigabyte GeForce GTX 970 G1 Gaming 4GB,/productinfo/253762/gigabyte-geforce-gtx-970-g1-gaming-4gb,Hardware.info,"€ 404,44",http://content.hwigroup.net/images/products/micro_thumbs/253762.jpg,"Nvidia GeForce GTX 970, DirectX 11.2, PCI-Express 3.0 x16, 1178 MHz, 4096 MB"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/253461.jpg', 'path': 'full/87495f680906d39e0b95800ea50ba235e5013543.jpg', 'checksum': 'e2ffe9174114f34a6f799cea5323ae77'}]",MSI GeForce GTX 980 Gaming 4GB,/productinfo/253461/msi-geforce-gtx-980-gaming-4gb,Hardware.info,"€ 611,67",http://content.hwigroup.net/images/products/micro_thumbs/253461.jpg,"Nvidia GeForce GTX 980, DirectX 11.2, PCI-Express 3.0 x16, 1216 MHz, 4096 MB"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/253456.jpg', 'path': 'full/42cc8a095e5f68f6d7cf828730ec151f01296707.jpg', 'checksum': '57711ee29516c29bbfa7d117019bd7e3'}]",ASUS GeForce GTX 980 4GB,/productinfo/253456/asus-geforce-gtx-980-4gb,Hardware.info,"€ 605,06",http://content.hwigroup.net/images/products/micro_thumbs/253456.jpg,"Nvidia GeForce GTX 980, DirectX 11.2, PCI-Express 3.0 x16, 1127 MHz, 4096 MB"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/199968.jpg', 'path': 'full/6b58e84d5d2a6ced3137498a9d905b897994beb0.jpg', 'checksum': '53b8116d098dc06de2a9497a0e090315'}]",MSI Radeon R9 280X Gaming 3GB,/productinfo/199968/msi-radeon-r9-280x-gaming-3gb,Hardware.info,"€ 273,83",http://content.hwigroup.net/images/products/micro_thumbs/199968.jpg,"AMD Radeon R9 280X, DirectX 11.2, PCI-Express 3.0 x16, 1050 MHz, 3072 MB"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/248613.jpg', 'path': 'full/dfdc62adb4e7ca146deb5100cdc5ff49b81c9663.jpg', 'checksum': 'ef51d5facfc49f3013b1ca828742b31e'}]",ASUS Ares III 8GB,/productinfo/248613/asus-ares-iii-8gb,Hardware.info,"€ 1.624,15",http://content.hwigroup.net/images/products/micro_thumbs/248613.jpg,"AMD Radeon R9 290X, DirectX 11.2, PCI-Express 3.0 x16, 1030 MHz, 8192 MB"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/254092.jpg', 'path': 'full/a2d89212e9133939e13105f3d2d9bf79a009c5f2.jpg', 'checksum': 'd8d07ac8f39fbfcc03264d965947b3ce'}]",Zotac GeForce GTX 970 AMP! Extreme Edition 4GB,/productinfo/254092/zotac-geforce-gtx-970-amp!-extreme-edition-4gb,Hardware.info,"€ 445,84",http://content.hwigroup.net/images/products/micro_thumbs/254092.jpg,"Nvidia GeForce GTX 970, DirectX 11.2, PCI-Express 3.0 x16, 1203 MHz, 4096 MB"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/253569.jpg', 'path': 'full/cdc2d4dde9d4639dc7c45d9b70b846dfaf6c7982.jpg', 'checksum': '8b7b3175ecf9fc1b632ae92768be1cb6'}]",ASUS GeForce GTX 980 Strix 4GB,/productinfo/253569/asus-geforce-gtx-980-strix-4gb,Hardware.info,"€ 609,41",http://content.hwigroup.net/images/products/micro_thumbs/253569.jpg,"Nvidia GeForce GTX 980, DirectX 11.2, PCI-Express 3.0 x16, 1178 MHz, 4096 MB"
