images,name,url,webshop,price,image_urls,desc
,,,Hardware.info,,,
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/143017.jpg', 'path': 'full/4a2946911940eb23bd543cadf4299a86890998a4.jpg', 'checksum': 'ba3e06b8de60865cb633d940d90d1aac'}]",Crucial Ballistix Sport 8GB DDR3-1600 CL9 kit,/productinfo/143017/crucial-ballistix-sport-8gb-ddr3-1600-cl9-kit,Hardware.info,"€ 77,15",http://content.hwigroup.net/images/products/micro_thumbs/143017.jpg,"8 GB, DDR3, 1600 MHz, DIMM, 2 x, CL9, 1.5 V"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/112318.jpg', 'path': 'full/be8c294fcf403b8779c9b6581bfefd744fb54520.jpg', 'checksum': '6061bc4248033453555cda77baa19a38'}]",Corsair Vengeance 8GB DDR3-1600 CL9 kit,/productinfo/112318/corsair-vengeance-8gb-ddr3-1600-cl9-kit,Hardware.info,"€ 91,52",http://content.hwigroup.net/images/products/micro_thumbs/112318.jpg,"8 GB, DDR3, 1600 MHz, DIMM, 2 x, CL9, 1.5 V, XMP ondersteuning"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/151743.jpg', 'path': 'full/335aeed6c197e8b9fe9bbe6064e01b8b8a116ed0.jpg', 'checksum': '6c3455e2d41c13c3f05e72ec83a60a65'}]",G.Skill RipjawsX 16GB DDR3-1600 CL9 kit,/productinfo/151743/gskill-ripjawsx-16gb-ddr3-1600-cl9-kit,Hardware.info,"€ 164,50",http://content.hwigroup.net/images/products/micro_thumbs/151743.jpg,"16 GB, DDR3, 1600 MHz, DIMM, 2 x, CL9, 1.5 V, XMP ondersteuning"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/163913.jpg', 'path': 'full/6fd448046fb345e8e3ffb1fd868e2bea60e9dd75.jpg', 'checksum': 'a83620c2a4b4ebd60ffd2347e834d9e1'}]",Crucial Ballistix Sport 16GB DDR3-1600 CL9 kit,/productinfo/163913/crucial-ballistix-sport-16gb-ddr3-1600-cl9-kit,Hardware.info,"€ 145,36",http://content.hwigroup.net/images/products/micro_thumbs/163913.jpg,"16 GB, DDR3, 1600 MHz, DIMM, 2 x, CL9, 1.5 V, XMP ondersteuning"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/246621.jpg', 'path': 'full/5af38a697bb2776f9e55c7a65adaada902b81324.jpg', 'checksum': '2153ec511b830dee78152053385a7e55'}]",Kingston ValueRam Elpida 16GB DDR3L-1333 CL9 ECC Registered,/productinfo/246621/kingston-valueram-elpida-16gb-ddr3l-1333-cl9-ecc-registered,Hardware.info,"€ 120,27",http://content.hwigroup.net/images/products/micro_thumbs/246621.jpg,"16 GB, DDR3 Low Voltage, 3 MHz, DIMM, CL9, 1.35 V, ECC"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/177901.jpg', 'path': 'full/dfed3ddda7905254b72740e3209cca50cef99d72.jpg', 'checksum': 'cb2262f53df4c772aa0d39351b940e44'}]",Crucial Ballistix Tactical 8GB DDR3L-1600 CL8 kit,/productinfo/177901/crucial-ballistix-tactical-8gb-ddr3l-1600-cl8-kit,Hardware.info,"€ 83,46",http://content.hwigroup.net/images/products/micro_thumbs/177901.jpg,"8 GB, DDR3 Low Voltage, 1600 MHz, DIMM, 2 x, CL8, 1.35 V, XMP ondersteuning"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/238870.jpg', 'path': 'full/aba67c1317cdf00b760f10420737f90c25c9c030.jpg', 'checksum': 'ae5b3841dc63ebb42ee911eb03bc5503'}]",Corsair Vengeance LPX Black 16GB DDR4-2666 CL15 quad kit,/productinfo/238870/corsair-vengeance-lpx-black-16gb-ddr4-2666-cl15-quad-kit,Hardware.info,"€ 329,91",http://content.hwigroup.net/images/products/micro_thumbs/238870.jpg,"16 GB, DDR4, 2666 MHz, DIMM, 4 x, CL15, 1.2 V, XMP ondersteuning"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/133920.jpg', 'path': 'full/1f8a9d9ed5fc5fb4d8a87301aefca6e37ccf87c2.jpg', 'checksum': 'fa7a8a9d286d242d2959477601b91f61'}]",Crucial Ballistix Tactical 8GB DDR3-1866 CL9 kit,/productinfo/133920/crucial-ballistix-tactical-8gb-ddr3-1866-cl9-kit,Hardware.info,"€ 87,16",http://content.hwigroup.net/images/products/micro_thumbs/133920.jpg,"8 GB, DDR3, 1866 MHz, DIMM, 2 x, CL9, 1.5 V, XMP ondersteuning"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/150879.jpg', 'path': 'full/9f50abab3b976931d6aed454c016558d12d44f7b.jpg', 'checksum': '8c4d81faf259a06e5b7585648b8582c6'}]",G.Skill TridentX 16GB DDR3-2400 CL10 kit,/productinfo/150879/gskill-tridentx-16gb-ddr3-2400-cl10-kit,Hardware.info,"€ 174,62",http://content.hwigroup.net/images/products/micro_thumbs/150879.jpg,"16 GB, DDR3, 2400 MHz, DIMM, 2 x, CL10, 1.65 V, XMP ondersteuning"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/126098.jpg', 'path': 'full/ec7cbeee50cf12606c4647ebe66fe954d2aae658.jpg', 'checksum': 'c0b860960a096b55975b59c31ecce739'}]",Kingston HyperX Blu 8GB DDR3-1600 CL9 kit,/productinfo/126098/kingston-hyperx-blu-8gb-ddr3-1600-cl9-kit,Hardware.info,"€ 90,34",http://content.hwigroup.net/images/products/micro_thumbs/126098.jpg,"8 GB, DDR3, 1600 MHz, DIMM, 2 x, CL9, 1.65 V, XMP ondersteuning"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/240972.jpg', 'path': 'full/15fee7739b1adade7796ca8d619cc83357feffea.jpg', 'checksum': '5ad1819addf4faeb99ec09dd5cec2c6f'}]",Crucial Ballistix Sport 16GB DDR4-2400 CL16 quad kit,/productinfo/240972/crucial-ballistix-sport-16gb-ddr4-2400-cl16-quad-kit,Hardware.info,"€ 238,48",http://content.hwigroup.net/images/products/micro_thumbs/240972.jpg,"16 GB, DDR4, 2400 MHz, DIMM, 4 x, CL16, 1.2 V"
"[{'url': 'http://content.hwigroup.net/images/brands/micro_thumbs/000072.png', 'path': 'full/6d32d929de263398b7e5d970c3674390143c16eb.jpg', 'checksum': '59e57c26baadd957dc0f0b623c1294e3'}]",Kingston Predator 16GB DDR4-3000 CL15 quad kit,/productinfo/255173/kingston-predator-16gb-ddr4-3000-cl15-quad-kit,Hardware.info,"€ 360,70",http://content.hwigroup.net/images/brands/micro_thumbs/000072.png,"16 GB, DDR4, 3000 MHz, DIMM, 4 x, CL15, 1.35 V"
