images,name,url,webshop,price,image_urls,desc
,,,Hardware.info,,,
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/217188.jpg', 'path': 'full/d8c09813ea5c16357aabbd975eb0e25cbedc7283.jpg', 'checksum': 'd35ec3969fe4c2f1f169735bee181089'}]",MSI Z97 Gaming 5,/productinfo/217188/msi-z97-gaming-5,Hardware.info,"€ 138,49",http://content.hwigroup.net/images/products/micro_thumbs/217188.jpg,"ATX, Socket 1150, DDR3, Intel Z97"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/218748.jpg', 'path': 'full/60377c175fbe20399b037978262daaf745927f5d.jpg', 'checksum': 'a1dd7ccc903415dd956f233ad68ccaf2'}]",Gigabyte Z97-D3H,/productinfo/218748/gigabyte-z97-d3h,Hardware.info,"€ 118,68",http://content.hwigroup.net/images/products/micro_thumbs/218748.jpg,"ATX, Socket 1150, DDR3, Intel Z97"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/241844.jpg', 'path': 'full/7c29de354d0dc6b3fee2cfc38aad06abeb53ac78.jpg', 'checksum': '88a3fb6adcbed0af053759affb86a246'}]",ASUS X99-Deluxe,/productinfo/241844/asus-x99-deluxe,Hardware.info,"€ 367,65",http://content.hwigroup.net/images/products/micro_thumbs/241844.jpg,"ATX, Socket 2011-3, DDR4, Intel X99"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/257548.jpg', 'path': 'full/31f37a81a903ba2515403d7e4099b5d22c6348e3.jpg', 'checksum': 'ecb7e3dee5ef73e5c5e350c0be1196d6'}]",ASUS X99-Pro,/productinfo/257548/asus-x99-pro,Hardware.info,"€ 340,69",http://content.hwigroup.net/images/products/micro_thumbs/257548.jpg,"ATX, Socket 2011-3, DDR4, Intel X99"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/210524.jpg', 'path': 'full/0d7e03a7d8854b9d596a4945926253a3dd8df3a9.jpg', 'checksum': '6b4e42b7ba9a2983143dcf61b386ba40'}]",ASRock AM1H-ITX,/productinfo/210524/asrock-am1h-itx,Hardware.info,"€ 56,16",http://content.hwigroup.net/images/products/micro_thumbs/210524.jpg,"Mini ITX, Socket AM1, DDR3"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/195025.jpg', 'path': 'full/7db8dbdf967ca6fa08afbf3d0668e6cb2a8e4742.jpg', 'checksum': '1fc8b527f9ac6fa86b247ce50c5accae'}]",Gigabyte G1.Sniper B5,/productinfo/195025/gigabyte-g1sniper-b5,Hardware.info,"€ 89,57",http://content.hwigroup.net/images/products/micro_thumbs/195025.jpg,"ATX, Socket 1150, DDR3, Intel B85"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/251030.jpg', 'path': 'full/b0d8f217723226b9ce8cc267618a6857a2b715f8.jpg', 'checksum': '1bc61c07bcbc77923e3e1cf73f77fbab'}]",ASUS X99-E WS,/productinfo/251030/asus-x99-e-ws,Hardware.info,"€ 421,09",http://content.hwigroup.net/images/products/micro_thumbs/251030.jpg,"SSI CEB, Socket 2011-3, DDR4, Intel X99"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/215808.jpg', 'path': 'full/b438e43e134606ac3429eebf023c5d898dd01c60.jpg', 'checksum': '5430f56cb3870c9297cbecb23c6523d8'}]",ASRock Q1900-ITX,/productinfo/215808/asrock-q1900-itx,Hardware.info,"€ 79,59",http://content.hwigroup.net/images/products/micro_thumbs/215808.jpg,"Mini ITX, onboard CPU, Intel Celeron J1900, DDR3"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/216690.jpg', 'path': 'full/66e292c13a1298354986fc395a66d145be20b53e.jpg', 'checksum': '43722c9875f31145b87e29eb1a33d07c'}]",ASUS Maximus VII Ranger,/productinfo/216690/asus-maximus-vii-ranger,Hardware.info,"€ 165,45",http://content.hwigroup.net/images/products/micro_thumbs/216690.jpg,"ATX, Socket 1150, DDR3, Intel Z97"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/219228.jpg', 'path': 'full/ce6bc9c92313de253e786207a0d07698d25e9748.jpg', 'checksum': 'e757ac4d8a90efe104450391fa192766'}]",ASRock Z97E-ITX/ac,/productinfo/219228/asrock-z97e-itxac,Hardware.info,"€ 141,15",http://content.hwigroup.net/images/products/micro_thumbs/219228.jpg,"Mini ITX, Socket 1150, DDR3, Intel Z97"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/218740.jpg', 'path': 'full/5f732dc46c6d25335d3e3a77be5fe76f40509663.jpg', 'checksum': 'dfd7dbf8672feca39b963934e812229e'}]",ASRock Z97 Extreme6,/productinfo/218740/asrock-z97-extreme6,Hardware.info,"€ 170,38",http://content.hwigroup.net/images/products/micro_thumbs/218740.jpg,"ATX, Socket 1150, DDR3, Intel Z97"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/218753.jpg', 'path': 'full/2f34fe1a405ec2f79ca61510c729f99140baaae9.jpg', 'checksum': '9b734e1ecb84fd01503dc1d1df3f4624'}]",Gigabyte Z97X Gaming 3,/productinfo/218753/gigabyte-z97x-gaming-3,Hardware.info,"€ 126,64",http://content.hwigroup.net/images/products/micro_thumbs/218753.jpg,"ATX, Socket 1150, DDR3, Intel Z97"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/206330.jpg', 'path': 'full/774008c4129b0630d04ef157f102b699cb947dd1.jpg', 'checksum': '165899b09609dee1a979ee0d9300b376'}]",ASRock C2750D4I,/productinfo/206330/asrock-c2750d4i,Hardware.info,"€ 400,60",http://content.hwigroup.net/images/products/micro_thumbs/206330.jpg,"Mini ITX, onboard CPU, Intel Atom C2750, DDR3"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/209475.jpg', 'path': 'full/e21215da814317df862d099480c5979bea8157ff.jpg', 'checksum': '955f4e63bec5628249ec37d7ab7a1958'}]",Raspberry Pi Model B 512MB,/productinfo/209475/raspberry-pi-model-b-512mb,Hardware.info,"€ 36,18",http://content.hwigroup.net/images/products/micro_thumbs/209475.jpg,
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/148551.jpg', 'path': 'full/c305abf1108f32510f7dbf1ac18ecfc6c55ac6d2.jpg', 'checksum': 'fb39847ab75945e7fc63ee7f4f9a1674'}]",ASRock Z77 Extreme4,/productinfo/148551/asrock-z77-extreme4,Hardware.info,"€ 108,58",http://content.hwigroup.net/images/products/micro_thumbs/148551.jpg,"ATX, Socket 1155, DDR3, Intel Z77"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/186854.jpg', 'path': 'full/fd7c8f7378a5ab9b93fdd2e5e108791d3089aebb.jpg', 'checksum': 'f1c96ca49e0022a503ef248cb7e1eeeb'}]",ASUS B85M-G,/productinfo/186854/asus-b85m-g,Hardware.info,"€ 72,86",http://content.hwigroup.net/images/products/micro_thumbs/186854.jpg,"Micro ATX, Socket 1150, DDR3, Intel B85"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/242901.jpg', 'path': 'full/b90d178b288ad025828e37f638f125e441e9aa3a.jpg', 'checksum': '06722982bfc5d9325c4096ec78802a0a'}]",ASUS Rampage V Extreme,/productinfo/242901/asus-rampage-v-extreme,Hardware.info,"€ 426,57",http://content.hwigroup.net/images/products/micro_thumbs/242901.jpg,"Extended ATX, Socket 2011-3, DDR4, Intel X99"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/219130.jpg', 'path': 'full/23fcbd677c176bbb569dce9d0a421b38c77d96e3.jpg', 'checksum': 'a7e17d14246fccfe3eaaaed0dc80b0dc'}]",ASUS Z97-Pro (Wi-Fi AC),/productinfo/219130/asus-z97-pro-wi-fi-ac,Hardware.info,"€ 194,44",http://content.hwigroup.net/images/products/micro_thumbs/219130.jpg,"ATX, Socket 1150, DDR3, Intel Z97"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/206329.jpg', 'path': 'full/3789078af87cb158a9e62c45b35771e9d990d73a.jpg', 'checksum': '9ebc89c5c20f07741b5540f4f58c8b61'}]",ASRock C2550D4I,/productinfo/206329/asrock-c2550d4i,Hardware.info,"€ 273,06",http://content.hwigroup.net/images/products/micro_thumbs/206329.jpg,"Mini ITX, onboard CPU, Intel Atom C2550, DDR3"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/243683.jpg', 'path': 'full/4c9afb103ece7417e7c116a841e594d20ef42ed6.jpg', 'checksum': '17843652b1c43aef704d0ba03dd03ff9'}]",MSI X99S SLI Plus,/productinfo/243683/msi-x99s-sli-plus,Hardware.info,"€ 212,94",http://content.hwigroup.net/images/products/micro_thumbs/243683.jpg,"ATX, Socket 2011-3, DDR4, Intel X99"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/245371.jpg', 'path': 'full/c9692c7e8a423c94be1f0778e5c5f1b36324f8e7.jpg', 'checksum': '2c55c4292af869627eb6aeb2862e864b'}]",MSI X99S MPower,/productinfo/245371/msi-x99s-mpower,Hardware.info,"€ 254,81",http://content.hwigroup.net/images/products/micro_thumbs/245371.jpg,"ATX, Socket 2011-3, DDR4, Intel X99"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/186948.jpg', 'path': 'full/a6bc32a91d319e147e54ac06d6df1ab099b30f8c.jpg', 'checksum': '34a2d6911485592eab60a12ff8a220fb'}]",MSI Z87-G45 Gaming,/productinfo/186948/msi-z87-g45-gaming,Hardware.info,"€ 125,93",http://content.hwigroup.net/images/products/micro_thumbs/186948.jpg,"ATX, Socket 1150, DDR3, Intel Z87"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/202994.jpg', 'path': 'full/d4c233322c1be7326240831dcad19a43d0d65ff3.jpg', 'checksum': '3365b1b84bc85dc131273167bda6245d'}]",MSI A88XM-E35,/productinfo/202994/msi-a88xm-e35,Hardware.info,"€ 55,17",http://content.hwigroup.net/images/products/micro_thumbs/202994.jpg,"Micro ATX, Socket FM2+, DDR3, AMD A88X"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/223753.jpg', 'path': 'full/3cc8ae815b73eb5a79e38da0192f1a538038270a.jpg', 'checksum': '42b74aae91139d096be102ef7680140d'}]",MSI 970 Gaming,/productinfo/223753/msi-970-gaming,Hardware.info,"€ 101,44",http://content.hwigroup.net/images/products/micro_thumbs/223753.jpg,"ATX, Socket AM3+, DDR3, AMD 970"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/219296.jpg', 'path': 'full/d0deeec92aa51124e39bbfaf2a332831991e7d66.jpg', 'checksum': 'f0b598440d2f2c3c6117432762e97c6c'}]",MSI Z97I Gaming AC,/productinfo/219296/msi-z97i-gaming-ac,Hardware.info,"€ 148,54",http://content.hwigroup.net/images/products/micro_thumbs/219296.jpg,"Mini ITX, Socket 1150, DDR3, Intel Z97"
