images,name,url,webshop,price,image_urls,desc
,,,Hardware.info,,,
"[{'url': 'http://content.hwigroup.net/images/brands/micro_thumbs/000026.png', 'path': 'full/8e9b965743eff2df97a8f4e966367cb503085391.jpg', 'checksum': '45a60115eac5bace9b43a6803cf1cc84'}]",Plextor PX-B950UE,/productinfo/144277/plextor-px-b950ue,Hardware.info,,http://content.hwigroup.net/images/brands/micro_thumbs/000026.png,"Intern, Serial ATA, 16 x, 8 x, 12 x"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/167081.jpg', 'path': 'full/88549e5caf401a299821dc212a24612668c892bc.jpg', 'checksum': '0fc6bba5904ec2c2c5aa3094e094f679'}]",LG GH24NS95,/productinfo/167081/lg-gh24ns95,Hardware.info,"€ 20,05",http://content.hwigroup.net/images/products/micro_thumbs/167081.jpg,"Intern, Serial ATA, 24 x"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/168730.jpg', 'path': 'full/b8c04429b4855470e334068dc05d70396667b642.jpg', 'checksum': 'f648bddf7e83f6744eb19c945dc21b26'}]",LG BH16NS40,/productinfo/168730/lg-bh16ns40,Hardware.info,"€ 78,08",http://content.hwigroup.net/images/products/micro_thumbs/168730.jpg,"Intern, Serial ATA, 16 x, 12 x, 16 x"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/183477.jpg', 'path': 'full/abad0148eb963fcce8e61bffe366e6c9015f7937.jpg', 'checksum': '3762b9b2e12d330d6be88b2ec0d7870e'}]",Samsung SH-224DB/BEBE,/productinfo/183477/samsung-sh-224dbbebe,Hardware.info,"€ 17,72",http://content.hwigroup.net/images/products/micro_thumbs/183477.jpg,"Intern, Serial ATA, 24 x"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/162165.jpg', 'path': 'full/affe8300d6e0bf506be34de1c1b678626a01e926.jpg', 'checksum': '0048f2afb28284b9aa060ec1e0610dee'}]",Samsung SH-224BB/BEBE,/productinfo/162165/samsung-sh-224bbbebe,Hardware.info,"€ 18,50",http://content.hwigroup.net/images/products/micro_thumbs/162165.jpg,"Intern, Serial ATA, 24 x"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/192814.jpg', 'path': 'full/08aaade04ce0546fcd29d8138134093acad3f498.jpg', 'checksum': '62ed141c0a5fabb336a204c119381b5f'}]",LG CH12NS30,/productinfo/192814/lg-ch12ns30,Hardware.info,"€ 59,75",http://content.hwigroup.net/images/products/micro_thumbs/192814.jpg,"Intern, Serial ATA, 12 x, 12 x, 12 x"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/253336.jpg', 'path': 'full/0cbd0666cd338d869fe3962bebe403d108561c46.jpg', 'checksum': '26433dd22b29e5eb0628766bc397a048'}]",Samsung SE-208GB Black,/productinfo/253336/samsung-se-208gb-black,Hardware.info,"€ 29,71",http://content.hwigroup.net/images/products/micro_thumbs/253336.jpg,"Extern, USB 2.0, 8 x"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/192816.jpg', 'path': 'full/c1f0e946a712a842c3b71d1916935f36d29cb355.jpg', 'checksum': '03bfb5fb40a79c9c83c13ccd8619f00c'}]",ASUS DRW-24F1ST,/productinfo/192816/asus-drw-24f1st,Hardware.info,"€ 19,99",http://content.hwigroup.net/images/products/micro_thumbs/192816.jpg,"Intern, Serial ATA, 24 x"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/150144.jpg', 'path': 'full/584f210d6383e211387e514b21f342b9658b6864.jpg', 'checksum': '71d562a54f9e6d7a61b4213acef5a5b4'}]",ASUS DRW-24B5ST,/productinfo/150144/asus-drw-24b5st,Hardware.info,"€ 40,99",http://content.hwigroup.net/images/products/micro_thumbs/150144.jpg,"Intern, Serial ATA, 24 x"
