price,name,desc
,,
"€ 561,70",Samsung Galaxy S5 Black,"Android, Qualcomm Snapdragon 801 (8974AC), 5.1 inch, 1920x1080, 16 MPixel, 145 gram"
"€ 587,01",Samsung Galaxy Alpha Black,"Android, Exynos 5 Octa 5430, 4.7 inch, 1280x720, 12 MPixel, 115 gram"
"€ 765,23",Samsung Galaxy Note 4 Black,"Android, Qualcomm Snapdragon 805 (APQ8084), 5.7 inch, 2560x1440, 16 MPixel, 176 gram"
"€ 617,94",HTC One (M8) Gold,"Android, Qualcomm Snapdragon 801 (8974AB), 5 inch, 1920x1080, 4.1 MPixel, 160 gram"
"€ 348,29",LG Nexus 5 16GB Black,"Android, Qualcomm Snapdragon 800 (8974), 5 inch, 1920x1080, 8 MPixel, 130 gram"
"€ 495,16",Sony Xperia Z3 Compact Black,"Android, Qualcomm Snapdragon 801 (8974AC), 4.6 inch, 1280x720, 20.7 MPixel, 129 gram"
"€ 374,14",Sony Xperia Z1 Compact Black,"Android, Qualcomm Snapdragon 800 (8974), 4.3 inch, 1280x720, 20.7 MPixel, 137 gram"
,OnePlus One 64GB Black,"Android, Qualcomm Snapdragon 801 (8974AC), 5.5 inch, 1920x1080, 13 MPixel, 162 gram"
"€ 188,27",Motorola Moto G (2014) Black,"Android, Qualcomm Snapdragon 400, 5 inch, 1280x720, 8 MPixel, 149 gram"
"€ 410,82",Samsung Galaxy S4 Black,"Android, Qualcomm Snapdragon 600 (8064T), 5 inch, 1920x1080, 13 MPixel, 130 gram"
"€ 619,67",HTC One (M8) Grey,"Android, Qualcomm Snapdragon 801 (8974AB), 5 inch, 1920x1080, 4.1 MPixel, 160 gram"
,Samsung Galaxy Alpha Gold,"Android, 4.7 inch, 1280x720, 12 MPixel, 114 gram"
"€ 104,39",Archos 50 Neon,"Android, 5 inch, 854x480, 5 MPixel"
,Motorola Moto G 16GB,"Android, 4.5 inch, 1280x720, 5 MPixel, 143 gram"
"€ 336,44",Nokia Lumia 830 Black,"Windows Phone, Qualcomm Snapdragon 400, 5 inch, 1280x720, 10 MPixel, 150 gram"
"€ 853,00",Apple iPhone 6 64GB Grey,"iOS, Apple A8, 4.7 inch, 1334x750, 8 MPixel, 129 gram"
"€ 630,40",Sony Xperia Z3 Black,"Android, Qualcomm Snapdragon 801 (8974AC), 5.2 inch, 1920x1080, 20.7 MPixel, 152 gram"
"€ 263,60",Samsung Galaxy S4 Mini Black,"Android, Qualcomm Snapdragon 400 (8930AB), 4.3 inch, 960x540, 8 MPixel, 110 gram"
,Sony Xperia P LT22i Silver,"Android, ST-Ericsson NovaThor U8500, 4.0 inch, 960x540, 8 MPixel, 122 gram"
"€ 197,62",Motorola Moto G 4G 8GB,"Android, Qualcomm Snapdragon 400 (8926), 4.5 inch, 1280x720, 5 MPixel, 143 gram"
"€ 228,69",Samsung Galaxy S Advance Black,"Android, ST-Ericsson NovaThor U8500, 4 inch, 800x480, 5 MPixel, 118.3 gram"
,Sony Xperia S LT26i Black,"Android, Qualcomm Snapdragon S3 (MSM8260), 4.3 inch, 1280x720, 12 MPixel, 144 gram"
"€ 620,19",Samsung Galaxy Alpha Silver,"Android, 4.7 inch, 1280x720, 12 MPixel, 114 gram"
"€ 454,50",Nokia Lumia 930 Black,"Windows Phone, Qualcomm Snapdragon 800, 5 inch, 1920x1080, 20 MPixel, 167 gram"
"€ 335,50",Huawei Ascend P7 Black,"Android, Hisilicon Kirin 910T, 5 inch, 1920x1080, 13 MPixel, 125 gram"
"€ 377,92",Samsung Galaxy S5 Mini Black,"Android, Samsung Exynos 3470, 4.5 inch, 1280x720, 8 MPixel, 119.2 gram"
"€ 256,33",Nokia Lumia 735 Grey,"Windows Phone, Qualcomm Snapdragon 400, 4.7 inch, 1280x720, 6.7 MPixel, 134.3 gram"
"€ 389,00",LG Optimus G E975 Black,"Android, Qualcomm Snapdragon S4 Pro (APQ8064), 4.7 inch, 1280x768, 13 MPixel, 145 gram"
"€ 640,36",Samsung Galaxy Alpha Blue,"Android, 4.7 inch, 1280x720, 12 MPixel, 114 gram"
"€ 570,95",LG G3 32GB Black,"Android, Qualcomm Snapdragon 801 (8974AC), 5.5 inch, 2560x1440, 13 MPixel, 149 gram"
"€ 762,69",Samsung Galaxy Note 4 White,"Android, Qualcomm Snapdragon 805 (APQ8084), 5.7 inch, 2166x1440, 16 MPixel, 176 gram"
,Motorola Nexus 6 Blue,"Android, Qualcomm Snapdragon 805 (APQ8084), 5.96 inch, 2560x1440, 13 MPixel, 184 gram"
"€ 620,95",HTC One (M8) Silver,"Android, Qualcomm Snapdragon 801 (8974AB), 5 inch, 1920x1080, 4.1 MPixel, 160 gram"
"€ 367,47",LG G2 16GB Black,"Android, Qualcomm Snapdragon 800 (8974), 5.2 inch, 1920x1080, 13 MPixel, 143 gram"
"€ 195,71",Motorola Moto G 8GB,"Android, Qualcomm Snapdragon 400 (8226), 4.5 inch, 1280x720, 5 MPixel, 143 gram"
"€ 501,73",Sony Xperia Z2 Black,"Android, Qualcomm Snapdragon 801 (8974AB), 5.2 inch, 1920x1080, 20.7 MPixel, 165 gram"
,Sony Xperia T LT30p Black,"Android, Qualcomm Snapdragon S4 Plus (MSM8260A), 4.6 inch, 1280x720, 13 MPixel, 139 gram"
"€ 137,33",LG L70 Black,"Android, Qualcomm Snapdragon 200 (8210), 4.5 inch, 800x480, 5 MPixel, 133 gram"
"€ 163,10",Samsung Galaxy S III Mini White,"Android, ST-Ericsson NovaThor U8420, 4 inch, 800x480, 5 MPixel, 111.5 gram"
"€ 249,08",Nokia Lumia 730 Grey,"Windows Phone, 4.7 inch, 1280x720, 6.7 MPixel, 130.4 gram"
"€ 516,60",Samsung Galaxy Note 3 Black,"Android, Qualcomm Snapdragon 800 (8974), 5.7 inch, 1920x1080, 13 MPixel, 168 gram"
"€ 409,24",LG Nexus 5 32GB Black,"Android, Qualcomm Snapdragon 800 (8974), 5 inch, 1920x1080, 8 MPixel, 130 gram"
"€ 108,48",Huawei Ascend Y300 White,"Android, 4 inch, 800x480, 5 MPixel, 130 gram"
"€ 284,00",Sony Xperia SP Black,"Android, Qualcomm Snapdragon S4 Pro (MSM8960T), 4.6 inch, 1280x720, 8 MPixel, 155 gram"
"€ 196,68",Archos 50 Helium 4G,"Android, Qualcomm Snapdragon 400 (8926), 5 inch, 1280x720, 8 MPixel, 160 gram"
"€ 201,45",Huawei Ascend G6 4G Black,"Android, Qualcomm Snapdragon 400 (8226), 4.5 inch, 960x540, 8 MPixel, 120 gram"
"€ 605,24",Apple iPhone 5s 16GB Black,"iOS, Apple A7, 4 inch, 1136x640, 8 MPixel, 112 gram"
"€ 132,24",Nokia Lumia 630 Black,"Windows Phone, Qualcomm Snapdragon 400 (8626), 4.5 inch, 854x480, 5 MPixel, 134 gram"
"€ 436,49",HTC One Black,"Android, Qualcomm Snapdragon 600 (8064T), 4.7 inch, 1920x1080, 4.1 MPixel, 145 gram"
"€ 340,15",Sony Xperia Z Ultra Black,"Android, Qualcomm Snapdragon 800 (8974), 6.4 inch, 1920x1080, 8 MPixel, 220 gram"
,,
"€ 521,33",Motorola Moto X (2014) Black,"Android, 5.2 inch, 1920x1080, 13 MPixel, 144 gram"
,Samsung Galaxy S Plus i9001 Black,"Android, Qualcomm Snapdragon S2 (MSM8255T), 4 inch, 800x480, 5 MPixel, 117.5 gram"
"€ 497,09",Sony Xperia Z3 Compact White,"Android, Qualcomm Snapdragon 801 (8974AC), 4.6 inch, 1280x720, 20.7 MPixel, 129 gram"
"€ 750,43",Apple iPhone 6 16GB Silver,"iOS, Apple A8, 4.7 inch, 1334x750, 8 MPixel, 129 gram"
