images,name,url,webshop,price,image_urls,desc
,,,Hardware.info,,,
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/200130.jpg', 'path': 'full/b8ec08a18c61afa5a593663a1a5d0966311a2a95.jpg', 'checksum': 'd444c03c7bf6c245adf4de9ecfffcf34'}]",Cooler Master V-Series Semi-Modular 550W,/productinfo/200130/cooler-master-v-series-semi-modular-550w,Hardware.info,"€ 88,99",http://content.hwigroup.net/images/products/micro_thumbs/200130.jpg,"550 W, 92 %, 80 Plus Gold, Modulair, 45 A"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/198272.jpg', 'path': 'full/85c8985a533cbbf9b116bb725bc732510f002b58.jpg', 'checksum': '923975d323b12284a31afab3b1e73231'}]",Corsair RM Series 750W,/productinfo/198272/corsair-rm-series-750w,Hardware.info,"€ 126,98",http://content.hwigroup.net/images/products/micro_thumbs/198272.jpg,"750 W, 92 %, 80 Plus Gold, Modulair, 62.5 A"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/202279.jpg', 'path': 'full/58a93c40c96a0d8436ac533fe9a79fa4bb194b0c.jpg', 'checksum': 'feb44b5696660a07883fce4aac8e7d31'}]",Corsair CS-M Series 650W,/productinfo/202279/corsair-cs-m-series-650w,Hardware.info,"€ 91,93",http://content.hwigroup.net/images/products/micro_thumbs/202279.jpg,"650 W, 92 %, 80 Plus Gold, Modulair, 51 A"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/200129.jpg', 'path': 'full/e1ed156b2c59b1a9dfff1fca51bf6e731f0f8199.jpg', 'checksum': '14b33bcde266f083b92cdb17b82b26b0'}]",Cooler Master V-Series Semi-Modular 450W,/productinfo/200129/cooler-master-v-series-semi-modular-450w,Hardware.info,"€ 76,70",http://content.hwigroup.net/images/products/micro_thumbs/200129.jpg,"450 W, 92 %, 80 Plus Gold, Modulair, 36 A"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/200909.jpg', 'path': 'full/660bb39f99e38586e689149080dd79b583203cf5.jpg', 'checksum': '8991d6dfb215723800eca10992e38416'}]",Cooler Master GM-Series G550M,/productinfo/200909/cooler-master-gm-series-g550m,Hardware.info,"€ 59,24",http://content.hwigroup.net/images/products/micro_thumbs/200909.jpg,"550 W, 89 %, 80 Plus Bronze, Modulair, 42 A"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/129875.jpg', 'path': 'full/fb9e8e83456b27e9362ab931eb6bf2d6827acbce.jpg', 'checksum': 'fe9ec6cf54ca2e9b898ecc59a7493a02'}]",Be quiet! Pure Power L8 430W CM,/productinfo/129875/be-quiet!-pure-power-l8-430w-cm,Hardware.info,"€ 56,00",http://content.hwigroup.net/images/products/micro_thumbs/129875.jpg,"430 W, 81 %, 80 Plus Bronze, Modulair, 33 A"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/202278.jpg', 'path': 'full/57bd695ee27a076c339222750ae015f5147d79dc.jpg', 'checksum': '91023f21194b94501c56f4b9b764aabf'}]",Corsair CS-M Series 550W,/productinfo/202278/corsair-cs-m-series-550w,Hardware.info,"€ 79,76",http://content.hwigroup.net/images/products/micro_thumbs/202278.jpg,"550 W, 92 %, 80 Plus Gold, Modulair, 43 A"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/170749.jpg', 'path': 'full/d7c833f0bb166ab22fd9743767049fe87e198e40.jpg', 'checksum': 'e6c1fba00c4d48d56b5a54df1e2240b2'}]",Be quiet! System Power 7 300W,/productinfo/170749/be-quiet!-system-power-7-300w,Hardware.info,"€ 36,64",http://content.hwigroup.net/images/products/micro_thumbs/170749.jpg,"300 W, 81 %, 80 Plus Bronze, 24 A"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/096810.jpg', 'path': 'full/f265e93714ee45d3ac866b7dfca02e4525e1fea0.jpg', 'checksum': '5052f22b4aa6e1d2660c245908605aa3'}]",Seasonic M12II Bronze 520W,/productinfo/96810/seasonic-m12ii-bronze-520w,Hardware.info,"€ 65,14",http://content.hwigroup.net/images/products/micro_thumbs/096810.jpg,"520 W, 82 %, 80 Plus Bronze, Modulair, 40 A"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/205059.jpg', 'path': 'full/e2db35b5bec91e1ea9a5c27bfd1502d95c68a10a.jpg', 'checksum': 'e2a3753e6ce113fd19abdf1e3f1eaab0'}]",Seasonic M12II Evo Bronze 520W,/productinfo/205059/seasonic-m12ii-evo-bronze-520w,Hardware.info,"€ 66,87",http://content.hwigroup.net/images/products/micro_thumbs/205059.jpg,"520 W, 85 %, 80 Plus Bronze, Modulair, 40 A"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/126597.jpg', 'path': 'full/226cecaea5fbd68f6e590229d714eb2be1215fd5.jpg', 'checksum': '802c6b07b92367c94bb803bd2a2b9541'}]",FSP FSP500-60APN 500W,/productinfo/126597/fsp-fsp500-60apn-500w,Hardware.info,"€ 55,76",http://content.hwigroup.net/images/products/micro_thumbs/126597.jpg,"500 W, 86.34 %, 34 A"
