images,name,url,webshop,price,image_urls,desc
,,,Hardware.info,,,
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/220847.jpg', 'path': 'full/b8e1b13662dd8ff1ae4ba4832f638f483f6d39f2.jpg', 'checksum': 'a75206689c104686935755dc705253fb'}]",Crucial MX100 256GB,/productinfo/220847/crucial-mx100-256gb,Hardware.info,"€ 102,89",http://content.hwigroup.net/images/products/micro_thumbs/220847.jpg,"SSD, 256 GB, 0 rpm, Serial ATA 600, Marvell 88SS9189, 550 MB/s, 330 MB/s, 2.5 inch"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/194680.jpg', 'path': 'full/99dbe5734c01be6a052676cc5233559f334c61cc.jpg', 'checksum': '062a034b3d3a6378471c03bfee9713cd'}]",Samsung 840 Evo 250GB,/productinfo/194680/samsung-840-evo-250gb,Hardware.info,"€ 127,02",http://content.hwigroup.net/images/products/micro_thumbs/194680.jpg,"SSD, 250 GB, 0 rpm, Serial ATA 600, Samsung MEX (S4LN045X01), 540 MB/s, 520 MB/s, 2.5 inch"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/220848.jpg', 'path': 'full/f41210d61f958ddc3984c7b8b1c9d08522a648fe.jpg', 'checksum': 'ed7a0214022491db1cfbaabaff1d102f'}]",Crucial MX100 512GB,/productinfo/220848/crucial-mx100-512gb,Hardware.info,"€ 197,88",http://content.hwigroup.net/images/products/micro_thumbs/220848.jpg,"SSD, 512 GB, 0 rpm, Serial ATA 600, Marvell 88SS9189, 550 MB/s, 500 MB/s, 2.5 inch"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/157495.jpg', 'path': 'full/5418e94ba167d4490a32ba58d3432104a2dc3ba1.jpg', 'checksum': 'e2e65b8af3326ce3ae96fc90f5e683d2'}]",Western Digital Red 3TB,/productinfo/157495/western-digital-red-3tb,Hardware.info,"€ 121,78",http://content.hwigroup.net/images/products/micro_thumbs/157495.jpg,"Harddisk, 3000 GB, 5400 rpm, Serial ATA 600, 3.5 inch"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/194679.jpg', 'path': 'full/b4a14735d5848c8df171e0c25c749d7dca26371e.jpg', 'checksum': '8b78ddd9ab225b339f01f5ece4a3640e'}]",Samsung 840 Evo 120GB,/productinfo/194679/samsung-840-evo-120gb,Hardware.info,"€ 78,16",http://content.hwigroup.net/images/products/micro_thumbs/194679.jpg,"SSD, 120 GB, 0 rpm, Serial ATA 600, Samsung MEX (S4LN045X01), 540 MB/s, 410 MB/s, 2.5 inch"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/221897.jpg', 'path': 'full/96137b046f3fc20c9a3348741240e114fad2d6f3.jpg', 'checksum': '4424496a884d8cf415a26c903fc25a33'}]",Samsung 850 Pro 256GB,/productinfo/221897/samsung-850-pro-256gb,Hardware.info,"€ 169,76",http://content.hwigroup.net/images/products/micro_thumbs/221897.jpg,"SSD, 256 GB, Serial ATA 600, Samsung MEX (S4LN045X01), 550 MB/s, 520 MB/s, 2.5 inch"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/194683.jpg', 'path': 'full/15b441ddd53250a1c52c9abe9f0a40d62a36b315.jpg', 'checksum': '1b07f59cd34c38b85111ed0b883512b1'}]",Samsung 840 Evo 1TB,/productinfo/194683/samsung-840-evo-1tb,Hardware.info,"€ 395,64",http://content.hwigroup.net/images/products/micro_thumbs/194683.jpg,"SSD, 1000 GB, 0 rpm, Serial ATA 600, Samsung MEX (S4LN045X01), 540 MB/s, 520 MB/s, 2.5 inch"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/132501.jpg', 'path': 'full/bc29dd89e5a3911f50ad509b10dbd4d8db6d3431.jpg', 'checksum': '0d2819d360231d1191e7ec7eee7bdcdd'}]",Seagate Barracuda 7200.14 1TB,/productinfo/132501/seagate-barracuda-720014-1tb,Hardware.info,"€ 57,46",http://content.hwigroup.net/images/products/micro_thumbs/132501.jpg,"Harddisk, 1000 GB, 7200 rpm, Serial ATA 600, 3.5 inch"
"[{'url': 'http://content.hwigroup.net/images/products/micro_thumbs/134062.jpg', 'path': 'full/7cc162f822e2b256f7101efe8fd46f1b15c73670.jpg', 'checksum': 'f8bd7a1820b1f520e47a3c792b6e4c14'}]",Seagate Barracuda 7200.14 3TB,/productinfo/134062/seagate-barracuda-720014-3tb,Hardware.info,"€ 105,57",http://content.hwigroup.net/images/products/micro_thumbs/134062.jpg,"Harddisk, 3000 GB, 7200 rpm, Serial ATA 600, 3.5 inch"
